BRPTitle,BRPGroupLoginName
BRP_a2z-Solutions,c:0t.c|tenant|423c9663-6640-4e01-aca4-1e3d65b3a990
BRP_Aadiushmaa Absorption & Instrument Engineers,c:0t.c|tenant|5518674a-c15c-453e-8f51-4f659eeece76
BRP_Aay Bee Engineers,c:0t.c|tenant|98b3775b-5bba-4512-a99c-3c9bd54f4ee7
BRP_ABB Drives Oy,c:0t.c|tenant|66355a2b-907c-4783-b121-9d23b1300afd
BRP_Abensa,c:0t.c|tenant|b05c24ea-da69-4b51-8e95-894a06dd0272
BRP_AB Impianti S.r.l.,c:0t.c|tenant|cc8d6fc8-0eac-4c0c-93c4-8fa374e4a284
BRP_AB Jeotermal,c:0t.c|tenant|023bc0bb-b5b4-4216-a5c3-ce07165d28b2
BRP_ABK AS,c:0t.c|tenant|b10a0652-26a5-40ff-b21d-de21264737a8
BRP_Absoliuta UAB,c:0t.c|tenant|569b4fe6-b22a-4e4d-9895-4c40dd773d40
BRP_AB Tehnic Profesional,c:0t.c|tenant|9b44ef3f-4c14-4fe8-a25f-e67e3941b23f
BRP_Acar Muhendislik,c:0t.c|tenant|32c837db-a30f-4193-9806-395b8673f4b3
BRP_ACE Instal,c:0t.c|tenant|09481d51-bc8c-4d19-b001-abf35e4c84cb
BRP_Acquatec S.r.l.,c:0t.c|tenant|360a57b1-1445-44ce-9851-e5fcb664acc7
BRP_ACR Services,c:0t.c|tenant|e8ae3d81-777b-4334-8a85-721d02089c59
BRP_Aday Insaat Tes. San Ve,c:0t.c|tenant|119d9822-384d-468c-903d-c9b7f675cba1
BRP_Aday Insaat Tes. San. ve Tic. Ltd. ??ti.,c:0t.c|tenant|ad1f33cf-af33-4675-80f3-22ff2cc3c2db
BRP_A & D Design Services,c:0t.c|tenant|a2a64281-d076-4a17-8749-0e9035e4566e
BRP_AECOM - Cambridge,c:0t.c|tenant|f0a3ba8d-7559-47c2-8720-4ca9c2eec78e
BRP_AECOM - Leeds,c:0t.c|tenant|e4c448dc-7e2c-4ce1-ada6-fcac96a351bd
BRP_AFAAQ,c:0t.c|tenant|081279f4-2214-4ac7-9a17-93771bcd853b
BRP_Agder Energi Varme AS,c:0t.c|tenant|383ce87f-1ad2-4044-897e-400df2b642f7
BRP_Aggreko Nederland BV,c:0t.c|tenant|f9520a98-dfec-471c-8502-3feb7870311a
BRP_Akim Muhendislik Proje Ins. Tha. San. Ltd. Sti,c:0t.c|tenant|06e35236-9fc9-4c39-a522-dac26db1018a
BRP_Akvedukts SIA,c:0t.c|tenant|6a3762ab-affb-403a-a3be-07c9c7c2e417
BRP_Alcon A/S,c:0t.c|tenant|d3054ab5-45a5-4e29-ac2b-9fefcac3ea63
BRP_ALFA 90,c:0t.c|tenant|28168841-b180-4fd8-8abb-c2eb2f5214b3
BRP_ALFA 90 SUMINISTROS Y SERVICIOS.,c:0t.c|tenant|413d002c-8604-428c-b601-ea61ca378e88
BRP_Alfa Brazing,c:0t.c|tenant|a49b6e3e-e636-4e52-bdbf-0fa42e20ed48
BRP_Alfa Engineering,c:0t.c|tenant|8ebc0b9d-009c-469c-8dca-65fddc46862a
BRP_Alfa Fj�rrv�rme AB,c:0t.c|tenant|6b5bee51-1da1-4854-bb25-ccde7ea00124
BRP_Alfa Grade Kft.,c:0t.c|tenant|ef240aac-b0c8-4331-a947-7bfc4ada95aa
BRP_AlfaHES distribution,c:0t.c|tenant|b0f15595-8dd1-4409-a8ad-0d6fc7b99332
BRP_Alfa Laval Customer PTD,c:0t.c|tenant|568ca308-8588-4f14-9720-b392686aafcf
BRP_Alfa Laval internal users,c:0t.c|tenant|b0d52e8b-3013-4674-9b81-3b37ece29984
BRP_Alfa Nova d.o.o.,c:0t.c|tenant|50009dbb-e064-41cd-8a48-94be8a8b4618
BRP_ALFA-OMEGA technology s.r.o.,c:0t.c|tenant|adfa3fce-716a-4a6b-9027-cd63fea7449b
BRP_Alfa Rising,c:0t.c|tenant|1616a897-58c3-4fcf-a728-0866ecb4090e
BRP_Alfarising,c:0t.c|tenant|6769918f-504b-4df8-9e4e-622c2b8b858f
BRP_Alfa Separ s.r.o.,c:0t.c|tenant|6d56a257-f359-4d01-87e4-d48cf59cd65b
BRP_ALFA THERM,c:0t.c|tenant|c1397d42-b26b-4bf2-87ca-97f28518df0f
BRP_Alfatherm Kft,c:0t.c|tenant|2d9f2a5a-c746-4cd4-8290-70b00e3d299e
BRP_ALMAY Bt.,c:0t.c|tenant|ef9fafed-e0b9-4863-af35-cc5e45329555
BRP_Altena Group B.V.,c:0t.c|tenant|bfd56114-a78b-424f-adcb-223fc3e50029
BRP_Al-Usool Engineering Services Company Ltd,c:0t.c|tenant|ccddd92d-05d4-4365-b822-b4dad5c96435
BRP_Amarc DHS Srl,c:0t.c|tenant|4d15b55d-ac30-466b-aa23-097fe0636a25
BRP_Ambar Electroingenieria,c:0t.c|tenant|b06cdcea-cd3c-4572-9231-29af6a46108d
BRP_Amu Mera Sp. z o.o.,c:0t.c|tenant|d7a725f5-4c69-4da2-92c8-3797d0eb112d
"BRP_Anhui Credit Environment Engineering Co., Ltd",c:0t.c|tenant|f318b0fa-fa37-45fd-a739-6943ce85726d
"BRP_APICACIONES DE REGULACION Y CONTROL, S.L.",c:0t.c|tenant|a55ee277-5ea5-4bc0-9cef-8635cc49ea34
BRP_APTEC Energietechnik GmbH,c:0t.c|tenant|048e2a0b-c8c9-47c2-8bcc-f19de7e26eb0
BRP_Aqotec GmbH,c:0t.c|tenant|4df017f8-2b80-4b02-9b4f-3acc2fdb96d2
BRP_Arde Klima Tesisat Insaat,c:0t.c|tenant|05e56acf-8617-4fa0-ae5a-bef10457d6bf
BRP_Ardora SA,c:0t.c|tenant|3c53610f-f38e-4a4e-8812-7f9cdbfa0520
BRP_Arke Muhendislik Tesiat San. ve Tic. Ltd. Sti,c:0t.c|tenant|119c0ae8-8dce-4a3f-994c-d446f08f2f64
BRP_Armatec AB,c:0t.c|tenant|b4098f6c-25d8-4d60-8c85-7bb62b0a3fe2
BRP_Armatec A/S,c:0t.c|tenant|f856ce14-9ce1-49d0-9018-525a0059a4ce
BRP_Armatec A/S - Glostrup,c:0t.c|tenant|1875b7de-3ec6-4eec-96c7-1dcbf9ddc046
BRP_Armatec Oy,c:0t.c|tenant|35d58735-6cdd-44a2-9ec8-f9d0abdc6d03
BRP_Artakija UAB,c:0t.c|tenant|6b757639-e58a-4aa1-9e5f-acff5728b9db
BRP_ARUP - Glasgow,c:0t.c|tenant|de6f63ec-5924-467f-86cd-c62ae332a0fb
BRP_ARUP - Leeds,c:0t.c|tenant|ff77ff39-80d3-4536-8ffd-6a74d919823b
BRP_ARUP - Manchester,c:0t.c|tenant|30540798-8de4-4573-aaff-8b495c69f66c
BRP_ARUP - Newcastle Upon Tyne,c:0t.c|tenant|77d8dd93-95f4-4746-ac70-7a93be41eb39
BRP_ARUP - Sheffield,c:0t.c|tenant|47743262-a768-484d-9769-9b9bb8e5f535
BRP_ARUP - Solihull,c:0t.c|tenant|77535a2f-27df-40d1-8d44-197c11c3db0a
BRP_Atak Muhendislik Mak. Tesisat Tic.,c:0t.c|tenant|704e32b0-f84b-473a-8a7b-38843fa70f7e
BRP_A-Tech,c:0t.c|tenant|4ed718ae-1191-49b6-9acc-cb9d70d52324
BRP_Atelier Ten,c:0t.c|tenant|9815dcbd-bd3e-4d9f-b431-12c971496e9e
BRP_ATHERM,c:0t.c|tenant|23a73cd7-7186-4adb-a403-d1ce8f87bbd8
BRP_Atkins Design Solutions,c:0t.c|tenant|4b7c81bd-f2a3-4c02-8438-98d20ae9f85b
BRP_Atkins Global,c:0t.c|tenant|d01c5fa5-a8bd-48b2-9e06-b9d1554e9678
BRP_Atlas Copco Airpower NV,c:0t.c|tenant|41f95304-6318-4472-87f3-c71d13930685
BRP_Auquatec S.r.l.,c:0t.c|tenant|a23ff8b1-1cdf-4651-995b-52e4449eba7c
BRP_Auramarine Oy,c:0t.c|tenant|58e71092-934f-4082-8ec7-d85ab2722a6b
BRP_AVN Hydraulik A/S,c:0t.c|tenant|0bad8280-9a84-4d31-9251-443bf866c687
BRP_AVOS VY�KOV,c:0t.c|tenant|77d0d61d-30a6-4cc3-9eed-91a833f6d7e0
BRP_Axis Industries AB,c:0t.c|tenant|0786bd7c-6b18-437b-9eff-117ba1091c57
BRP_Bailey Garner,c:0t.c|tenant|95278467-a5df-44d2-9a72-62f1fc65c284
BRP_Barr & Wray Ltd,c:0t.c|tenant|6d619e6d-e719-4718-8530-9a61c9f9ae4b
BRP_BAUTECHNIK GMBH S.R.L.,c:0t.c|tenant|1c4b8d06-d14c-467b-af5c-3f09d3c18217
BRP_BDP,c:0t.c|tenant|3e0890dc-1d03-449f-9f2b-33c94d7ca9c0
BRP_BEIJER,c:0t.c|tenant|ecd4cc50-f1f1-44b1-92fc-46d2bc6b4b60
BRP_Beijer Ref Australia,c:0t.c|tenant|4c02191e-018f-4b4d-a7a1-e6c3152dcbc5
BRP_Beijer Ref Australia Pty,c:0t.c|tenant|8acbaeaa-b5e0-4df8-8423-9684c60d67b8
BRP_Beijer Ref Italy Srl,c:0t.c|tenant|f3cfbeae-56c1-421f-98d2-896a1a671a4d
BRP_Beijer Ref Support B V,c:0t.c|tenant|f9ad07a6-d764-4d23-a2af-0740ff450e02
BRP_Beijer Ref Support B.V. 2,c:0t.c|tenant|b010cf96-0792-4a32-b1d8-8534d0f5d07d
"BRP_Beijing Reak Innovation Science & Technology Co., Ltd.",c:0t.c|tenant|8bda5b5a-1dd0-483b-9ed3-f0e67277b0b7
"BRP_Beijing Ruike Xingchuang Technologic Co., Ltd.",c:0t.c|tenant|67c142fa-b4e8-4d9f-ab9d-1c475d472055
"BRP_Beijing Xinze Technology Co., Ltd.",c:0t.c|tenant|2e46f3db-d09c-41d2-b448-2188e48a16e2
BRP_Beijing Zhongzhengwei Technolog Development,c:0t.c|tenant|ba0306f0-494c-4a0c-8184-e03e265bd9eb
BRP_Besa Mekanik Yapi,c:0t.c|tenant|462acb53-0fd1-4293-a4a3-ef8b973184c4
BRP_Be.S.T. S.r.l.,c:0t.c|tenant|ec0abc25-dfe9-4290-abe7-9fcf748d5f07
BRP_BEST Xiamen Mechnicai CO,c:0t.c|tenant|b6962bd0-4ac2-489d-bfca-016b32bf3fc4
BRP_Beta Teknik,c:0t.c|tenant|3a72f6ac-aa1f-4f35-81a5-af9b9f8a2f53
BRP_B. GINER,c:0t.c|tenant|2d925aa7-8eda-4a39-a1bb-a1e9fd46fe98
BRP_Black Sea Suppliers,c:0t.c|tenant|e5e3b54f-a04f-4f28-820e-0800c993af08
BRP_Black & White Engineering,c:0t.c|tenant|52cf091a-2dac-46a2-ad88-522263b4947d
BRP_Black & White Engineering - Blackpool and the Fylde,c:0t.c|tenant|3eb2e90a-9ee7-47c1-a3c5-d7b39bf89074
BRP_Blygold Nederland B.V. Weert,c:0t.c|tenant|e382e07a-bbc3-4f63-b24f-be884869c9d5
BRP_Blyth & Blyth,c:0t.c|tenant|9bca7a89-4a12-4f3a-a8f0-fdf86df4f699
BRP_Bonum M SIA,c:0t.c|tenant|e6811cc1-8ad3-4063-847e-cca75061f4ae
BRP_B�RRESEN COOLTECH AS,c:0t.c|tenant|45812dc5-e3ab-4a3f-b6da-c21f44db345c
BRP_BOSCH REXROTH,c:0t.c|tenant|533824c4-867c-4d50-adfe-fb8fde7f5f10
BRP_Bosch Rexroth AB - Borl�nge,c:0t.c|tenant|aa1ff674-4f40-4332-9ab8-3389f52a9ac9
BRP_Bosch Rexroth AB - Mellansel,c:0t.c|tenant|dc49b5cb-26b7-4b04-a630-31b4889f4af9
BRP_Bosch Rexroth Hajt�s- �s Vez�rl�...,c:0t.c|tenant|7313c338-bf38-4ad3-88b3-76e21266fa6e
BRP_Bosch Rexroth Oy,c:0t.c|tenant|8fa33fa0-44ee-4961-8571-9a6f14d4b592
"BRP_Bosch Rexroth, spol. s r.o.",c:0t.c|tenant|aba037fb-a489-418f-8eea-d1b878a1e890
"BRP_Bosch Termotecnia, SA",c:0t.c|tenant|3db89775-78d1-41d9-bbb9-961ac239ebc6
BRP_Brammer Czech a.s.,c:0t.c|tenant|9dbd12db-1cbe-4d84-bb07-28f95c0246f3
BRP_Brammer GmbH,c:0t.c|tenant|4f8a5ff4-2178-44c5-9736-c19600563c7d
BRP_Brammer Iberia S.A.,c:0t.c|tenant|37331db9-e3fe-4582-a861-fbeed8e36316
BRP_Brammer Magyarorsz�g Kft.,c:0t.c|tenant|04593c24-11dc-4e3b-ab5a-dac39a1337f6
BRP_Brammer S. A.,c:0t.c|tenant|3686b218-fda5-403e-bc45-fe60e0e5836d
BRP_Brammer Sweden AB,c:0t.c|tenant|700935ad-ff5c-46ea-93f4-1a096f60259a
BRP_Brammer UK,c:0t.c|tenant|865110c9-43d9-4bd3-a348-4c784e7beae9
BRP_Brantec Pty Ltd,c:0t.c|tenant|1af38c46-92b2-4d79-a72f-5d1c2f78233e
BRP_Brentwood Design,c:0t.c|tenant|2ee821ae-4f5b-4a89-abf0-b964b2e57419
BRP_Briggs & Forrester Group,c:0t.c|tenant|bc6f7d08-aac3-4988-9758-d242adec1006
BRP_BSS,c:0t.c|tenant|84f5b794-5b1f-4858-876e-52a8b7e91232
BRP_BSS Group Limited - Headquarters,c:0t.c|tenant|b60af159-4401-4ee8-ba06-b71a4d0855e1
BRP_BSS Group UK,c:0t.c|tenant|c3501cf9-fe05-4a9b-b0ff-341262de05ad
BRP_BT Hydraulikk,c:0t.c|tenant|4890af17-3971-4a26-b4b1-8f37986d67ef
BRP_BTS Western,c:0t.c|tenant|4b65f073-1090-4b9c-af14-b55813202790
BRP_Budapesti M?szaki �s Gazdas�gtudom�nyi,c:0t.c|tenant|fd3e62f1-6fec-490f-9499-bb533fa2354a
BRP_Buenaventura Giner,c:0t.c|tenant|2e38321d-a1d7-4870-82a7-55ced7b8f385
BRP_Buro Happold Consulting,c:0t.c|tenant|635d8a91-d72f-44c3-909c-ef3ca1dacfc3
BRP_Buro Happold Ltd,c:0t.c|tenant|b8fc9899-1235-4aab-ac2e-173996e87ad2
BRP_Buro Happold - Manchester,c:0t.c|tenant|55472b14-08e4-4d25-889c-33d204db4d06
BRP_Calorex Heat Pumps Ltd,c:0t.c|tenant|79003d41-1439-49fe-bcf7-35b7b3269abb
BRP_Calosi srl,c:0t.c|tenant|266adb7f-ab68-4d36-98dd-c3dd4b611ef8
BRP_CANALCENTRO,c:0t.c|tenant|3807037c-a1ab-486a-9c0e-8497026aea9d
BRP_Carlo Perino,c:0t.c|tenant|c31b7980-f533-4d28-a98c-4b195c086548
BRP_CASATHERM,c:0t.c|tenant|88879907-72b7-411d-9403-826aa4d46c2b
BRP_CAS Private Ltd,c:0t.c|tenant|d89f57ea-349a-46bf-a730-873fe82edd67
BRP_CECILIO ALONSO,c:0t.c|tenant|71a5f058-7899-4809-97a2-f6e2157a2a2b
BRP_C�H ZRt.,c:0t.c|tenant|2e5c3043-71cd-4093-9806-4262c5ae99ca
BRP_Ceimu Srl,c:0t.c|tenant|7e770f5b-9fc7-4316-b44a-cf65c7912d4e
BRP_Cenmia Oy,c:0t.c|tenant|c8710dfe-40be-4890-86c7-525fa8efb541
BRP_Central Technical Suppliers (Namibia),c:0t.c|tenant|e2fd4334-703f-477e-8861-b42c98738f63
BRP_Centro-Mac refrig. & Aircon Services,c:0t.c|tenant|537d94ad-1f54-496a-9205-674c4f2bcab4
BRP_Cesehsa Products,c:0t.c|tenant|32e932ef-3c99-44a9-b662-8ab1a4e7ff54
"BRP_Cesehsa Products, S.A. de C.V.",c:0t.c|tenant|7c263640-416c-40c8-a0b7-57ac09c7e1e3
BRP_Cetetherm,c:0t.c|tenant|ad2d698e-079d-4d5d-ab28-959341ec4d9e
BRP_Cetetherm AB,c:0t.c|tenant|6440d668-f48e-4d85-8d3c-3d619cc79b98
BRP_Chemiclean,c:0t.c|tenant|a9b8ad14-2643-4703-919a-c52549b95a30
BRP_Chemiclean Systems AB,c:0t.c|tenant|4b15288e-9b1e-4410-8566-f52cbe64c7f6
"BRP_Chengdu Kelwl Control Mach Co., Ltd",c:0t.c|tenant|74b85989-7081-40c7-b490-d8cac15b8a97
BRP_Cheongsong Engineering,c:0t.c|tenant|672d6b77-f6dd-427f-a8a3-166dfa938dff
BRP_Chewbay Ltd,c:0t.c|tenant|af5136ba-200e-4a60-be33-275127eff025
BRP_Chiller Oy,c:0t.c|tenant|cb3a517d-f71a-4c1f-82ec-eb3f75affa1d
BRP_CHODOS CHODOV s.r.o.,c:0t.c|tenant|26660091-80f4-45ba-b6cd-4612ad334d9c
BRP_CHP engineering s.r.o.,c:0t.c|tenant|ed3844a3-0702-44fc-884f-0cd964ef3365
"BRP_CHROMAGEN ESPA�A, S.L.U.",c:0t.c|tenant|f260b31d-b242-44b7-86da-690fa9d01c17
BRP_Chrysmetal Ltd,c:0t.c|tenant|03986473-4cab-4c53-a290-ae24d865d131
"BRP_Clauger de Mexico, S.A. de C.V.",c:0t.c|tenant|de3ca922-21a9-4900-8983-c1514f638c3d
BRP_Climaport s.r.o,c:0t.c|tenant|f1c04a6b-ff4e-47cf-906d-7f8cc1c554a4
BRP_CLIMARAI srl,c:0t.c|tenant|e430dcff-c0db-482d-af16-eff43d52279b
BRP_Climarai S.r.l.,c:0t.c|tenant|e96cfcb3-ab63-4330-b733-5ca4f0568994
"BRP_COMERCIAL ARPE, S.A.",c:0t.c|tenant|90d13b7d-3da6-4cd4-a854-8229c51872cb
BRP_Comercial Diesel,c:0t.c|tenant|4527c05c-ac9d-4447-b49f-d005cef23998
"BRP_COMERCIAL QUEMOIL, S.A.",c:0t.c|tenant|b838fefd-6661-493f-885a-1525be0a34bb
BRP_Comfort Units ApS,c:0t.c|tenant|817fb77c-539c-42b9-9e2a-0e3c04aa7af2
BRP_Commerciale S.A.C.I.R. S.r.l.,c:0t.c|tenant|367ba3a5-9ba3-493f-b335-2d3c456b5e02
BRP_Compania Climatizadora S.A.,c:0t.c|tenant|d609c727-5deb-4309-92f4-cadb8d60cae0
BRP_Compresores CAC de Mexico,c:0t.c|tenant|43372d82-0538-431f-becb-621efb2353c8
BRP_Consensus Sp. z o.o.,c:0t.c|tenant|ef8f2aa4-d87c-4c50-85d1-2d8c8cfa1e05
BRP_Contract Energy Management Ltd,c:0t.c|tenant|2685a9a4-1f86-4141-bddb-128c12d41ff3
BRP_Coolsense,c:0t.c|tenant|7074b861-b9cf-472c-a909-8ce601556d59
BRP_Coryhex ApS,c:0t.c|tenant|6dd9bd41-d4c1-4a2a-ad9a-1f1e3cc33fb4
BRP_COSMOPLAS S.A,c:0t.c|tenant|57164109-432b-4707-b1b4-037d86581b15
BRP_Cosmopolas S.A.,c:0t.c|tenant|f5ce497d-348c-4c80-9cec-50e0d4adbc05
BRP_COTERENA,c:0t.c|tenant|e8d2256c-ffd7-4edb-9cc8-f468890d1c95
BRP_Cowi,c:0t.c|tenant|0934c15f-fc82-4d50-9e9b-0ce2e19bc92d
BRP_Cowi AS,c:0t.c|tenant|a38b4cc0-38fe-44b3-8c5d-3a29e6c76b5c
BRP_Cunado Peru S.A.,c:0t.c|tenant|e451b22c-6164-4c2b-b2ea-06bbcb4f0cf5
BRP_Cundall Johnston & Partners Ltd,c:0t.c|tenant|3e362f77-b6f5-4e50-bf94-1189dcb9086f
BRP_Cundall Johnston & Partners Ltd - Edinburgh,c:0t.c|tenant|5365ae16-843b-4bf0-b5da-b09a92b9854c
BRP_Cundall Johnston & Partners Ltd - Manchester,c:0t.c|tenant|b9cb40d9-1852-44ae-8c74-c78c6c10a1aa
BRP_Cundall - Newcastle,c:0t.c|tenant|aaae24fc-fcee-40ee-aafd-771fb83e9a66
BRP_d3associates,c:0t.c|tenant|7cdf281b-f55c-44c5-a06f-25a5e9b21bff
BRP_Daehan Plant MC,c:0t.c|tenant|244a1c8b-f6fe-4e3d-b7b7-07679e24550f
BRP_Dahl,c:0t.c|tenant|0ab59be8-b77b-422d-bc44-965f9fce8bb8
"BRP_Dalian Hengshunwantong technology euipment Co., Ltd.",c:0t.c|tenant|1ccec578-0df6-430c-8ef8-753b5c5638cc
BRP_DASAL Morava s.r.o.,c:0t.c|tenant|f9b8e2d9-71dd-414b-8131-b605bd9d9177
BRP_Daunis S.A.,c:0t.c|tenant|eaf54080-ad63-4c6a-bdd9-6781bdbbf78d
BRP_Decon,c:0t.c|tenant|cc49cbb1-ea94-4ba8-a221-82391cf23e86
"BRP_Decon, spol. s.r.o.",c:0t.c|tenant|b4da90cc-660c-4e73-9ee5-77313630e9f4
BRP_Decon Spol. s.r.o.,c:0t.c|tenant|b5c5ff44-a7a2-42ff-bf09-e95d02e5212f
BRP_Degisim Isi Teknik Endustriyel,c:0t.c|tenant|4c903115-e614-44a9-814b-e2a97b1bff48
BRP_Dekodem,c:0t.c|tenant|829d32e9-da4c-425e-9aaa-e7e86b8a3d5b
BRP_Delta T,c:0t.c|tenant|5e85918d-97f0-4b26-b7a0-fd8280951cc7
BRP_Delta T Technology sas di Gianpiero,c:0t.c|tenant|972392ae-e346-4b6d-88d2-f6c12923f470
BRP_Demta Isi Ve End�striyel,c:0t.c|tenant|a9fe70bd-a6d8-442e-8821-08939745f1ef
BRP_Deniz Proje,c:0t.c|tenant|e3fe1005-0785-49fb-aa64-732b62d59edb
